No,Salon Name,Area,Phone,WhatsApp Link,Contacted,Replied,Notes
1,AL BAHAR AL HADI Ladies Salon,Abu Shagara - Sharjah,+97156491921,https://wa.me/97156491921,False,False,
2,Wahat Liwa Ladies Salon,Abu Shagara - Sharjah,+97150944754,https://wa.me/97150944754,False,False,
3,Al Mashaier Al Jamilah Ladies Salon,Abu Shagara - Sharjah,+97158599261,https://wa.me/97158599261,False,False,
4,Tariq Abushagara Ladies Salon,Abu Shagara - Sharjah,+97155386090,https://wa.me/97155386090,False,False,
5,SPOT Gents Salon,Abu Shagara - Sharjah,+97150586479,https://wa.me/97150586479,False,False,
6,Short Cut Saloon,Abu Shagara - Sharjah,+97152580132,https://wa.me/97152580132,False,False,
7,Black & Grey Salon,Abu Shagara - Sharjah,+97156553965,https://wa.me/97156553965,False,False,
8,Shatha Ladies Salon,Abu Shagara - Sharjah,+97155635355,https://wa.me/97155635355,False,False,
9,Telal Liwa Hairdressing Salon for Men,Abu Shagara - Sharjah,+97165445445,https://wa.me/97165445445,False,False,
10,Al Nawab Hairdressing Saloon,Abu Shagara - Sharjah,+97155642424,https://wa.me/97155642424,False,False,
